No,Nama Destinasi,Provinsi,Kategori,Rating,Jumlah pengujung/bulan,Harga Tiket Masuk (IDR),Fasilitas Utama,Latitude,Longitude,Link Gambar
409,Masjid Raya / Agung Tegal,Jawa Tengah,Religi & Budaya,4.4,28788,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.9816,109.3096,https://www.anugerahkubah.com/masjid-agung-kota-tegal/
410,Masjid Raya / Agung Pekalongan,Jawa Tengah,Religi & Budaya,4.6,25153,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.4033,110.9374,https://id.wikipedia.org/wiki/Masjid_Agung_Al-Jami%27_Pekalongan
411,Masjid Raya / Agung Brebes,Jawa Tengah,Religi & Budaya,4.3,20692,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.1208,110.0844,https://www.kontraktorkubahmasjid.com/masjid-agung-brebes/
412,Masjid Raya / Agung Pemalang,Jawa Tengah,Religi & Budaya,4.4,8796,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.952,109.1143,https://www.instagram.com/p/DPn_Id5Eh-i/
413,Masjid Raya / Agung Batang,Jawa Tengah,Religi & Budaya,4.6,20785,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.1158,110.0057,https://qoobah.co.id/masjid-agung-darul-muttaqin-batang/
414,Masjid Raya / Agung Kendal,Jawa Tengah,Religi & Budaya,4.3,42182,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.8473,109.3149,https://qoobah.co.id/masjid-agung-kendal/
415,Masjid Raya / Agung Demak,Jawa Tengah,Religi & Budaya,4.4,10161,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.7392,109.1602,https://id.wikipedia.org/wiki/Masjid_Agung_Demak
416,Masjid Raya / Agung Jepara,Jawa Tengah,Religi & Budaya,4.7,10613,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.5142,110.1901,https://id.wikipedia.org/wiki/Masjid_Agung_Baitul_Makmur_Jepara
417,Masjid Raya / Agung Kudus,Jawa Tengah,Religi & Budaya,4.6,36849,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.0248,109.4704,https://id.wikipedia.org/wiki/Masjid_Menara_Kudus
418,Masjid Raya / Agung Pati,Jawa Tengah,Religi & Budaya,4.4,9535,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.5801,110.7806,https://id.wikipedia.org/wiki/Masjid_Agung_Baitunnur_Pati
419,Masjid Raya / Agung Rembang,Jawa Tengah,Religi & Budaya,4.7,39911,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.4538,110.189,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-rembang/destinasi-wisata/masjid-agung-rembang
420,Masjid Raya / Agung Blora,Jawa Tengah,Religi & Budaya,4.8,13241,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.0806,109.8384,https://www.anugerahkubah.com/masjid-agung-baitunnur-blora/
421,Masjid Raya / Agung Grobogan,Jawa Tengah,Religi & Budaya,4.3,13414,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.1163,110.0456,https://dkm.or.id/kota/33-15/kab-grobogan-jawa-tengah
422,Masjid Raya / Agung Sragen,Jawa Tengah,Religi & Budaya,4.8,48237,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.7653,109.4085,https://radarmajalengka.disway.id/nasional/read/660857/masjid-agung-sragen-masjid-dengan-arsitektur-yang-megah-dan-bernuansa-modern
423,Masjid Raya / Agung Karanganyar,Jawa Tengah,Religi & Budaya,4.7,36148,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.9838,109.4774,https://www.instagram.com/p/DIfXXWkTkgG/
424,Masjid Raya / Agung Wonogiri,Jawa Tengah,Religi & Budaya,4.5,41031,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.3042,110.3434,https://www.facebook.com/p/Masjid-Agung-At-Taqwa-Kab-Wonogiri-100072157818710/
425,Masjid Raya / Agung Sukoharjo,Jawa Tengah,Religi & Budaya,4.4,15821,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.4,109.6324,https://www.facebook.com/masjidagungbaiturrahmahkabupatensukoharjo/
426,Masjid Raya / Agung Klaten,Jawa Tengah,Religi & Budaya,4.9,22370,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.9481,109.1451,https://news.detik.com/berita-jawa-tengah/d-5114446/masjid-raya-dan-masjid-agung-klaten-gelar-salat-idul-adha-besok
427,Masjid Raya / Agung Boyolali,Jawa Tengah,Religi & Budaya,4.5,39581,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.2417,110.9969,https://www.instagram.com/p/B_zTVLlFrnD/
428,Masjid Raya / Agung Temanggung,Jawa Tengah,Religi & Budaya,4.4,44753,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.7039,109.1465,https://www.facebook.com/ceritadesa/posts/masjid-agung-darussalam-temanggung-jawa-tengah/822580903248214/
429,Masjid Raya / Agung Wonosobo,Jawa Tengah,Religi & Budaya,4.4,32730,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.4868,109.5304,https://radarmagelang.jawapos.com/wonosobo/685188732/masjid-agung-jami-salah-satu-ikon-wonosobo-dengan-corak-kubah-akulturasi-hindu-islam
430,Masjid Raya / Agung Purworejo,Jawa Tengah,Religi & Budaya,4.8,18880,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.7667,110.7617,http://kekunaan.blogspot.com/2012/09/masjid-agung-darul-muttaqin-purworejo.html
431,Masjid Raya / Agung Kebumen,Jawa Tengah,Religi & Budaya,4.7,40343,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.8207,109.7391,https://id.wikipedia.org/wiki/Berkas:Masjid_agung_kauman_kebumen.jpg
432,Masjid Raya / Agung Cilacap,Jawa Tengah,Religi & Budaya,4.8,18182,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.5423,110.6675,https://travel.kompas.com/read/2023/05/07/130100527/sejarah-masjid-agung-darussalam-cilacap-yang-berusia-lebih-dari-2-abad?page=all
433,Masjid Raya / Agung Banyumas,Jawa Tengah,Religi & Budaya,4.7,25428,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.9965,110.2234,https://infopurwokerto.com/masjid-agung-purwokerto/
434,Masjid Raya / Agung Purbalingga,Jawa Tengah,Religi & Budaya,4.6,31148,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-6.7128,110.308,https://www.anugerahkubah.com/masjid-agung-purbalingga/
435,Masjid Raya / Agung Banjarnegara,Jawa Tengah,Religi & Budaya,4.9,49019,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.6922,110.6342,https://syiar.id/view/462
436,Masjid Raya / Agung Yogyakarta,DI Yogyakarta,Religi & Budaya,4.5,47590,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8,110.4,https://www.kompas.com/stori/read/2022/05/07/100000179/masjid-gedhe-kauman-yogyakarta--sejarah-dan-karakteristiknya
437,Masjid Raya / Agung Sleman,DI Yogyakarta,Religi & Budaya,4.6,29472,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8,110.4,https://www.anugerahkubah.com/masjid-agung-dr-wahidin-soedirohoesoedo-sleman-yogyakarta/
438,Masjid Raya / Agung Bantul,DI Yogyakarta,Religi & Budaya,4.8,33711,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8,110.4,https://www.detik.com/jogja/berita/d-7259415/kisah-masjid-agung-manunggal-bantul-berganti-nama-arsitek-jadi-mualaf
439,Masjid Raya / Agung Gunungkidul,DI Yogyakarta,Religi & Budaya,4.7,38919,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8,110.4,https://desakepek-wonosari.gunungkidulkab.go.id/first/artikel/227-MASJID-AGUNG-AL-IKHLAS-WONOSARI-ADAKAN-RENOVASI--BERIKUT-PELAPORAN-INFO-DONASINYA
440,Masjid Raya / Agung Kulon Progo,DI Yogyakarta,Religi & Budaya,4.8,34588,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8,110.4,https://www.instagram.com/p/DHaSQ5zyOTk/
441,Masjid Raya / Agung Surabaya,Jawa Timur,Religi & Budaya,4.6,12930,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8006,112.9902,https://indonesiavirtualtour.com/wisata-virtual/masjid-al-akbar-surabaya
442,Masjid Raya / Agung Sidoarjo,Jawa Timur,Religi & Budaya,4.7,21246,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.1611,111.4029,https://www.facebook.com/MasjidAgungSidoarjo/
443,Masjid Raya / Agung Gresik,Jawa Timur,Religi & Budaya,4.3,19725,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.9846,111.3211,https://kubahku.com/megah-arsitektur-dan-sejarah-ikonik-masjid-agung-gresik/
444,Masjid Raya / Agung Lamongan,Jawa Timur,Religi & Budaya,4.4,9196,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.5468,111.817,https://timesindonesia.co.id/religi/450745/kisah-sejarah-masjid-agung-lamongan-punya-koleksi-benda-kuno
445,Masjid Raya / Agung Tuban,Jawa Timur,Religi & Budaya,4.5,27156,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.4952,113.1528,https://www.detik.com/jatim/budaya/d-6647424/megahnya-masjid-agung-tuban-jejak-yang-pernah-jadi-pusat-syiar-islam
446,Masjid Raya / Agung Bojonegoro,Jawa Timur,Religi & Budaya,4.3,6378,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8964,112.9027,https://www.jtvbojonegoro.com/2023/03/masjid-agung-darussalam-salah-satu.html
447,Masjid Raya / Agung Ngawi,Jawa Timur,Religi & Budaya,4.4,43555,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.836,112.4656,https://jawatimuran.disperpusip.jatimprov.go.id/2016/09/30/masjid-agung-baitur-rahman-kabupaten-ngawi/
448,Masjid Raya / Agung Magetan,Jawa Timur,Religi & Budaya,4.4,41301,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.1947,113.5383,https://qoobah.co.id/masjid-agung-baitussalam-kabupaten-magetan/
449,Masjid Raya / Agung Madiun,Jawa Timur,Religi & Budaya,4.5,20080,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.0077,112.2707,https://id.wikipedia.org/wiki/Masjid_Agung_Baitul_Hakim
450,Masjid Raya / Agung Ponorogo,Jawa Timur,Religi & Budaya,4.7,43564,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8233,111.0106,https://id.wikipedia.org/wiki/Berkas:Masjid_Ponorogo.jpg
451,Masjid Raya / Agung Pacitan,Jawa Timur,Religi & Budaya,4.5,19432,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.3289,112.9113,https://www.wartakita.co/2021/05/01/jejak-masjid-agung-pacitan-wakaf-kanjeng-jimat-hingga-renovasi-sby/
452,Masjid Raya / Agung Trenggalek,Jawa Timur,Religi & Budaya,4.5,5471,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.838,113.2237,https://id.wikipedia.org/wiki/Masjid_Agung_Baiturrahman_Trenggalek
453,Masjid Raya / Agung Tulungagung,Jawa Timur,Religi & Budaya,4.4,9652,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.5483,112.2831,https://id.wikipedia.org/wiki/Berkas:Masjid_Agung_Tulungagung.jpg
454,Masjid Raya / Agung Blitar,Jawa Timur,Religi & Budaya,4.5,46359,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.0903,111.2257,https://www.detik.com/jatim/budaya/d-6657634/sejarah-masjid-agung-kota-blitar-yang-berusia-2-abad-lebih
455,Masjid Raya / Agung Kediri,Jawa Timur,Religi & Budaya,4.9,8858,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.2169,113.7118,https://id.wikipedia.org/wiki/Masjid_Agung_Kota_Kediri
456,Masjid Raya / Agung Nganjuk,Jawa Timur,Religi & Budaya,4.7,20003,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.5544,113.5038,https://jawatimuran.disperpusip.jatimprov.go.id/2013/06/10/masjid-agung-baitus-salam-kabupaten-nganjuk/
457,Masjid Raya / Agung Jombang,Jawa Timur,Religi & Budaya,4.7,9417,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.5175,111.4443,https://id.wikivoyage.org/wiki/Berkas:Masjid_Agung_Baitul_Mukminin_Jombang_2021-3.jpg
458,Masjid Raya / Agung Mojokerto,Jawa Timur,Religi & Budaya,4.4,7058,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.9726,111.9248,https://web.mojokertokota.go.id/potensi/detail/masjid-agung-al-fattah-km2r2eaont
459,Masjid Raya / Agung Pasuruan,Jawa Timur,Religi & Budaya,4.7,26654,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.201,113.3884,https://www.kompasiana.com/azwaputri23/657b0047de948f68903d8cf2/pesona-masjid-agung-al-anwar-pasuruan
460,Masjid Raya / Agung Probolinggo,Jawa Timur,Religi & Budaya,4.4,9643,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.2393,113.6968,https://travel.kompas.com/read/2023/04/12/214700327/sejarah-masjid-agung-raudlatul-jannah-probolinggo-usianya-253-tahun?page=all
461,Masjid Raya / Agung Lumajang,Jawa Timur,Religi & Budaya,4.5,38695,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8899,111.7486,https://www.anugerahkubah.com/masjid-agung-kota-lumajang/
462,Masjid Raya / Agung Jember,Jawa Timur,Religi & Budaya,4.9,20597,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.9972,113.3403,https://qoobah.co.id/masjid-agung-jember/
463,Masjid Raya / Agung Banyuwangi,Jawa Timur,Religi & Budaya,4.7,23250,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.2159,112.2191,https://qoobah.co.id/masjid-agung-baiturrahman/
464,Masjid Raya / Agung Bondowoso,Jawa Timur,Religi & Budaya,4.6,48842,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.4793,111.4637,https://www.anugerahkubah.com/masjid-agung-at-taqwa-bondowoso/
465,Masjid Raya / Agung Situbondo,Jawa Timur,Religi & Budaya,4.7,36812,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.1701,113.5938,https://radarsitubondo.jawapos.com/khazanah/2403210002/mengenal-masjid-al-abror-situbondo-masjid-agung-di-jantung-kota-santri
466,Masjid Raya / Agung Bangkalan,Jawa Timur,Religi & Budaya,4.8,19040,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.1238,113.4323,https://nativeindonesia.com/masjid-agung-bangkalan-masjid-terbesar-dan-tertua-di-bangkalan-madura/
467,Masjid Raya / Agung Sampang,Jawa Timur,Religi & Budaya,4.8,40339,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.2186,111.0744,https://nativeindonesia.com/kemegahan-masjid-agung-sampang-madura-jawa-timur/
468,Masjid Raya / Agung Pamekasan,Jawa Timur,Religi & Budaya,4.4,13671,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.3634,111.9966,https://nativeindonesia.com/kemegahan-masjid-agung-sampang-madura-jawa-timur/
469,Masjid Raya / Agung Sumenep,Jawa Timur,Religi & Budaya,4.3,42423,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.1692,113.4067,https://sdn32.bimakota.sch.id/web/detail-berita/299/-
470,Masjid Raya / Agung Batu,Jawa Timur,Religi & Budaya,4.5,42762,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.2359,113.4322,https://www.tripadvisor.co.id/Attraction_Review-g1237079-d9732072-Reviews-An_Nur_Great_Mosque-Batu_East_Java_Java.html
471,Masjid Raya / Agung Malang,Jawa Timur,Religi & Budaya,4.5,35976,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-7.8332,113.3621,https://id.wikipedia.org/wiki/Masjid_Agung_Malang
472,Masjid Raya / Agung Denpasar,Bali,Religi & Budaya,4.4,20925,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.5568,115.5722,https://bali.suara.com/read/2023/10/05/130000/sejarah-masjid-agung-sudirman-di-denpasar-tempat-ibadah-di-bali-bagi-umat-muslim
473,Masjid Raya / Agung Badung,Bali,Religi & Budaya,4.9,35996,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.2566,114.9224,https://www.detik.com/bali/bali-bungah/d-6634368/masjid-agung-palapa-masjid-megah-dekat-pantai-dreamland-patung-gwk
474,Masjid Raya / Agung Gianyar,Bali,Religi & Budaya,4.8,31677,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.2734,115.1603,https://www.facebook.com/masjidagunggianyar/
475,Masjid Raya / Agung Tabanan,Bali,Religi & Budaya,4.5,17478,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.4779,115.4953,https://bali.jpnn.com/destinasi/17771/masjid-agung-tabanan-ada-jasa-besar-raja-tabanan-di-kampung-jawa
476,Masjid Raya / Agung Buleleng,Bali,Religi & Budaya,4.7,11181,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.509,114.7237,https://tirto.id/masjid-agung-jami-singaraja-bali-sejarah-toleransi-di-buleleng-gd9S
477,Masjid Raya / Agung Karangasem,Bali,Religi & Budaya,4.5,11352,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.5227,115.0283,https://dkm.or.id/masjid/masjid-jami/51-07/kab-karangasem-bali
478,Masjid Raya / Agung Klungkung,Bali,Religi & Budaya,4.8,48187,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.2543,115.6669,https://dkm.or.id/masjid/masjid-umum/51-05/kab-klungkung-bali
479,Masjid Raya / Agung Bangli,Bali,Religi & Budaya,4.6,33249,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.4884,115.3415,https://kua-bali.id/detail-rumah-ibadah/kua_bangli/35
480,Masjid Raya / Agung Jembrana,Bali,Religi & Budaya,4.5,28219,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.4401,115.6811,https://www.detik.com/bali/budaya/d-6034983/masjid-baitul-qodim-jejak-nyata-masuknya-islam-di-gumi-makepung
481,Masjid Raya / Agung Mataram,Nusa Tenggara Barat,Religi & Budaya,4.4,32759,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.5855,118.8177,https://www.detik.com/bali/budaya/d-6034983/masjid-baitul-qodim-jejak-nyata-masuknya-islam-di-gumi-makepung
482,Masjid Raya / Agung Bima,Nusa Tenggara Barat,Religi & Budaya,4.6,31941,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.7539,118.9112,https://portal.bimakota.go.id/web/detail-etalase/masjid-agung-al-muwahidin
483,Masjid Raya / Agung Sumbawa Besar,Nusa Tenggara Barat,Religi & Budaya,4.5,35606,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.7286,118.8876,https://pulausumbawanews.net/2017/06/13/mengenal-masjid-agung-nurul-huda-sumbawa/
484,Masjid Raya / Agung Dompu,Nusa Tenggara Barat,Religi & Budaya,4.7,8550,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.6938,116.3252,https://singgahkemasjid.blogspot.com/2019/06/masjid-agung-baiturrahman-dompu.html
485,Masjid Raya / Agung Selong,Nusa Tenggara Barat,Religi & Budaya,4.8,49129,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.6262,118.1856,https://mataram.antaranews.com/berita/521525/pemkab-lombok-timur-kucurkan-rp10-miliar-untuk-pengembangan-masjid-selong
486,Masjid Raya / Agung Praya,Nusa Tenggara Barat,Religi & Budaya,4.5,47824,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.6745,117.8186,https://chanelmuslim.com/wisata/pesona-masjid-praya-lombok-tengah-masjid-agung-terbesar-di-ntb
487,Masjid Raya / Agung Tanjung,Nusa Tenggara Barat,Religi & Budaya,4.4,47348,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.5954,117.1556,https://kontrasx.com/2024/03/16/masjid-agung-jadi-ikon-baru-kota-tanjung/
488,Masjid Raya / Agung Kupang,Nusa Tenggara Timur,Religi & Budaya,4.9,11449,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-9.3468,120.2736,https://www.usp.co.id/project/view/81/masjid-raya-kupang
489,Masjid Raya / Agung Maumere,Nusa Tenggara Timur,Religi & Budaya,4.6,8972,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-9.0824,119.0085,https://id.wikipedia.org/wiki/Masjid_Agung_Baitul_Makmur_Meulaboh
490,Masjid Raya / Agung Ende,Nusa Tenggara Timur,Religi & Budaya,4.4,31386,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.6488,121.6923,https://www.kompasiana.com/richard1301/5eaa8a72097f36245e1b2a64/surau-yang-raya-di-ende-yang-mungil
491,Masjid Raya / Agung Ruteng,Nusa Tenggara Timur,Religi & Budaya,4.3,27236,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-9.0611,122.7098,https://www.victorynews.id/ntt/3318321963/dijuluki-kota-seribu-biara-dan-sangat-toleransi-ruteng-memiliki-dua-masjid-indah-dan-megah
492,Masjid Raya / Agung Labuan Bajo,Nusa Tenggara Timur,Religi & Budaya,4.4,12161,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-9.1587,120.8211,https://syiar.id/view/571
493,Masjid Raya / Agung Bajawa,Nusa Tenggara Timur,Religi & Budaya,4.7,21295,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-10.3601,122.3212,https://www.instagram.com/p/DXDuMpnAVda/
494,Masjid Raya / Agung Atambua,Nusa Tenggara Timur,Religi & Budaya,4.8,17556,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-9.8396,120.5696,https://www.anugerahkubah.com/masjid-agung-al-mujahidin-atambua/
495,Masjid Raya / Agung Soe,Nusa Tenggara Timur,Religi & Budaya,4.6,17465,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-8.804,122.5988,https://www.antaranews.com/berita/3244037/masjid-raya-sheikh-zayed-jadi-ikon-baru-kota-solo
496,Masjid Raya / Agung Kalabahi,Nusa Tenggara Timur,Religi & Budaya,4.3,40146,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-9.8994,120.5464,https://www.anugerahkubah.com/masjid-agung-al-fatah-kalabahi/
497,Masjid Raya / Agung Waingapu,Nusa Tenggara Timur,Religi & Budaya,4.5,34400,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-9.6832,121.012,https://www.samsumba.com/2023/02/masjid-tertua-dan-terbesar-di-sumba.html
498,Masjid Raya / Agung Waikabubak,Nusa Tenggara Timur,Religi & Budaya,4.9,14186,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-9.9087,119.6364,https://qoobah.co.id/masjid-agung-al-azhar/
499,Masjid Raya / Agung Pontianak,Kalimantan Barat,Religi & Budaya,4.6,32648,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-0.1591,110.8807,https://kalbar.antaranews.com/berita/324115/masjid-agung-pontianak-mulai-digunakan-lebaran
500,Masjid Raya / Agung Singkawang,Kalimantan Barat,Religi & Budaya,4.9,17025,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",0.3546,110.8056,https://kalbar.antaranews.com/berita/538623/keunikan-masjid-raya-singkawang-di-pusat-keramaian-kota
501,Masjid Raya / Agung Ketapang,Kalimantan Barat,Religi & Budaya,4.8,23254,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",0.231,109.6019,https://www.tripadvisor.co.id/Attraction_Review-g1025503-d15059237-Reviews-Al_Ikhlas_Grand_Mosque-Ketapang_West_Kalimantan_Kalimantan.html
502,Masjid Raya / Agung Sintang,Kalimantan Barat,Religi & Budaya,4.3,35318,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",0.0959,109.0008,https://upload.wikimedia.org/wikipedia/commons/7/72/Masjid_JamiK_Sultan_Nata_Sintang_1.jpg
503,Masjid Raya / Agung Sambas,Kalimantan Barat,Religi & Budaya,4.7,21371,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-0.4262,109.8598,https://www.kontraktorkubahmasjid.com/wp-content/uploads/2017/12/masjid-jami-kesultanan-sambas.png
504,Masjid Raya / Agung Palangkaraya,Kalimantan Tengah,Religi & Budaya,4.7,9940,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-1.42,113.8094,https://upload.wikimedia.org/wikipedia/en/c/cb/Darussalam_Grand_Mosque_Palangka_Raya.jpg
505,Masjid Raya / Agung Sampit,Kalimantan Tengah,Religi & Budaya,4.6,34041,Gratis,"Tempat Wudu, Toilet, Area Parkir, Ruang Shalat, AC/Kipas",-1.535,113.3843,https://qoobah.co.id/wp-content/uploads/2024/03/image-10.jpg
